Timestamp,Sample,Ciclo,Fase,Bridge VAB (V),KEITHLEY Voltaje (V),Bridge VA (V),Bridge VB (V),Bridge Current (A),TIVA Temp (C),Alicat Presion (kPA),Alicat Setpoint (kPA),Setpoint Enviado (kPA)
0.000332,1,1,subida,-0.006723,-0.006709,2.244215,2.249133,0.000907,5.156183,0.001,0.0,0.0
0.063013,2,1,subida,-0.006708,-0.006708,2.244215,2.250727,0.000907,5.152368,0.0,0.001,0.0
0.105786,3,1,subida,-0.006725,-0.006708,2.243551,2.251350,0.000907,5.152368,0.0,0.001,0.0
0.167304,4,1,subida,-0.006729,-0.006708,2.243313,2.250635,0.000908,5.155939,0.0,0.001,0.0
0.249260,5,1,subida,-0.006734,-0.006714,2.244192,2.250098,0.000907,5.155511,0.0,0.001,0.0
0.327929,6,1,subida,-0.006700,-0.006710,2.244192,2.250462,0.000907,5.153436,0.0,0.001,0.0
0.372728,7,1,subida,-0.006730,-0.006710,2.244439,2.251478,0.000907,5.153436,0.0,0.001,0.0
0.402836,8,1,subida,-0.006696,-0.006709,2.243664,2.251478,0.000907,5.161706,0.0,0.001,0.0
0.454253,9,1,subida,-0.006729,-0.006709,2.243664,2.250498,0.000907,5.150354,0.0,0.001,0.0
0.495304,10,1,subida,-0.006693,-0.006709,2.242877,2.249845,0.000907,5.150354,0.0,0.001,0.0
0.536451,11,1,subida,-0.006731,-0.006710,2.244540,2.249845,0.000908,5.156824,0.001,0.0,0.0
0.567970,12,1,subida,-0.006692,-0.006710,2.244540,2.250179,0.000908,5.150934,0.0,0.001,0.0
0.631089,13,1,subida,-0.006692,-0.006710,2.243700,2.250799,0.000907,5.153192,0.0,0.001,0.0
0.693530,14,1,subida,-0.006732,-0.006713,2.243700,2.250832,0.000907,5.145776,0.001,0.0,0.0
0.757258,15,1,subida,-0.006735,-0.006716,2.244549,2.250465,0.000908,5.153314,0.0,0.001,0.0
0.831267,16,1,subida,-0.006693,-0.006712,2.244549,2.250048,0.000908,5.152734,0.0,0.001,0.0
0.863042,17,1,subida,-0.006730,-0.006712,2.245205,2.251824,0.000908,5.152734,0.0,0.001,0.0
0.905269,18,1,subida,-0.006693,-0.006712,2.244153,2.251824,0.000908,5.156641,0.0,0.001,0.0
0.947206,19,1,subida,-0.006729,-0.006712,2.244153,2.251616,0.000908,5.153039,0.0,0.001,0.0
0.999780,20,1,subida,-0.006696,-0.006713,2.243834,2.251106,0.000908,5.153039,0.0,0.001,0.0
1.042086,21,1,subida,-0.006729,-0.006712,2.244913,2.251106,0.000908,5.154748,0.0,0.001,0.0
1.073452,22,1,subida,-0.006698,-0.006712,2.244913,2.250164,0.000908,5.147424,0.0,0.001,0.0
1.126598,23,1,subida,-0.006700,-0.006712,2.244609,2.250599,0.000907,5.152734,0.0,0.001,0.0
1.210222,24,1,subida,-0.006708,-0.006715,2.243754,2.250891,0.000907,5.146722,0.0,0.001,0.0
1.283165,25,1,subida,-0.006731,-0.006715,2.243658,2.250891,0.000907,5.151666,0.0,0.001,0.0
1.325332,26,1,subida,-0.006707,-0.006712,2.243658,2.249771,0.000907,5.155939,0.001,0.0,0.0
1.367014,27,1,subida,-0.006725,-0.006711,2.244376,2.250355,0.000907,5.155939,0.0,0.001,0.0
1.430101,28,1,subida,-0.006723,-0.006710,2.244070,2.251273,0.000907,5.156763,0.0,0.001,0.0
1.492678,29,1,subida,-0.006710,-0.006710,2.242910,2.250033,0.000907,5.156763,0.001,0.0,0.0
1.534976,30,1,subida,-0.006722,-0.006709,2.242919,2.250033,0.000907,5.151666,0.0,0.001,0.0
1.576243,31,1,subida,-0.006712,-0.006709,2.242919,2.249559,0.000907,5.151422,0.001,0.0,0.0
1.628503,32,1,subida,-0.006716,-0.006710,2.243554,2.249607,0.000907,5.153253,0.0,0.001,0.0
1.702743,33,1,subida,-0.006720,-0.006712,2.243554,2.250322,0.000907,5.151361,0.0,0.001,0.0
1.744914,34,1,subida,-0.006722,-0.006714,2.243146,2.250006,0.000906,5.151361,0.0,0.001,0.0
1.796716,35,1,subida,-0.006723,-0.006713,2.242427,2.249943,0.000907,5.151483,0.0,0.001,0.0
1.880644,36,1,subida,-0.006723,-0.006709,2.243915,2.249228,0.000906,5.152063,0.0,0.001,0.0
1.953960,37,1,subida,-0.006710,-0.006709,2.243915,2.249890,0.000906,5.151178,0.0,0.001,0.0
1.995407,38,1,subida,-0.006724,-0.006708,2.242868,2.249842,0.000906,5.151178,0.0,0.001,0.0
2.037377,39,1,subida,-0.006707,-0.006708,2.242043,2.249842,0.000907,5.155633,0.0,0.001,0.0
2.088431,40,1,subida,-0.006703,-0.006708,2.243321,2.248856,0.000907,5.153375,0.0,0.001,0.0
2.161721,41,1,subida,-0.006728,-0.006709,2.243265,2.248856,0.000906,5.151727,0.0,0.001,0.0
2.203421,42,1,subida,-0.006702,-0.006711,2.243265,2.249875,0.000906,5.153253,0.0,0.001,0.0
2.255738,43,1,subida,-0.006703,-0.006713,2.243038,2.250376,0.000907,5.158624,0.0,0.001,0.0
2.350360,44,1,subida,-0.006695,-0.006710,2.242240,2.249470,0.000907,5.155939,0.0,0.0,0.0
2.413492,45,1,subida,-0.006729,-0.006708,2.243903,2.249470,0.000907,5.158716,0.0,0.001,0.0
2.476151,46,1,subida,-0.006729,-0.006708,2.242976,2.250623,0.000907,5.156305,0.0,0.001,0.0
2.549212,47,1,subida,-0.006728,-0.006707,2.242323,2.249711,0.000907,5.152368,0.0,0.001,0.0
2.622603,48,1,subida,-0.006688,-0.006708,2.242049,2.249440,0.000907,5.152368,0.0,0.001,0.0
2.674041,49,1,subida,-0.006690,-0.006708,2.243450,2.248594,0.000907,5.153802,0.0,0.0,0.0
2.746227,50,1,subida,-0.006732,-0.006714,2.242803,2.250006,0.000907,5.153802,0.0,0.001,0.0
2.793502,51,1,subida,-0.006694,-0.006713,2.242573,2.250006,0.000906,5.157831,0.0,0.001,0.0
2.841485,52,1,subida,-0.006691,-0.006709,2.241736,2.249142,0.000907,5.147729,0.0,0.001,0.0
2.914147,53,1,subida,-0.006725,-0.006707,2.242356,2.249142,0.000907,5.157251,0.0,0.001,0.0
2.966156,54,1,subida,-0.006724,-0.006708,2.243378,2.249094,0.000906,5.150171,0.0,0.001,0.0
3.040381,55,1,subida,-0.006694,-0.006707,2.242359,2.249094,0.000906,5.157190,0.0,0.001,0.0
3.091915,56,1,subida,-0.006697,-0.006707,2.241843,2.249663,0.000907,5.148920,0.0,0.001,0.0
3.165813,57,1,subida,-0.006723,-0.006707,2.242320,2.249663,0.000906,5.158319,0.0,0.001,0.0
3.207473,58,1,subida,-0.006726,-0.006711,2.243083,2.249202,0.000906,5.150476,0.0,0.001,0.0
3.291804,59,1,subida,-0.006708,-0.006713,2.242860,2.249202,0.000907,5.158777,0.0,0.001,0.0
3.342987,60,1,subida,-0.006724,-0.006710,2.242860,2.250084,0.000906,5.154504,0.0,0.001,0.0
3.373499,61,1,subida,-0.006708,-0.006709,2.242073,2.249496,0.000906,5.154504,0.0,0.0,0.0
3.414435,62,1,subida,-0.006721,-0.006707,2.242001,2.249496,0.000906,5.156457,0.0,0.001,0.0
3.455707,63,1,subida,-0.006708,-0.006707,2.242001,2.248710,0.000906,5.156885,0.0,0.001,0.0
3.497025,64,1,subida,-0.006719,-0.006707,2.243178,2.248391,0.000906,5.156885,0.0,0.001,0.0
3.549185,65,1,subida,-0.006711,-0.006707,2.242445,2.248391,0.000906,5.152734,0.0,0.001,0.0
3.580554,66,1,subida,-0.006718,-0.006708,2.242445,2.249082,0.000906,5.149866,0.0,0.001,0.0
3.633269,67,1,subida,-0.006714,-0.006707,2.242115,2.249640,0.000906,5.149866,0.0,0.001,0.0
3.664809,68,1,subida,-0.006717,-0.006707,2.241980,2.249640,0.000906,5.154047,0.0,0.001,0.0
3.717496,69,1,subida,-0.006719,-0.006711,2.241980,2.248638,0.000906,5.153436,0.0,0.001,0.0
3.759752,70,1,subida,-0.006719,-0.006712,2.242639,2.248367,0.000907,5.153436,0.0,0.001,0.0
3.791292,71,1,subida,-0.006725,-0.006712,2.243184,2.248367,0.000906,5.151727,0.0,0.0,0.0
3.832968,72,1,subida,-0.006714,-0.006710,2.243184,2.249800,0.000906,5.153131,0.0,0.001,0.0
3.875542,73,1,subida,-0.006722,-0.006708,2.242454,2.249884,0.000906,5.153131,0.0,0.001,0.0
3.917773,74,1,subida,-0.006709,-0.006707,2.241805,2.249884,0.000906,5.159265,0.0,0.001,0.0
3.970201,75,1,subida,-0.006704,-0.006707,2.242266,2.248650,0.000907,5.154993,0.0,0.001,0.0
4.054609,76,1,subida,-0.006701,-0.006706,2.243134,2.248975,0.000907,5.158960,0.0,0.001,0.0
4.127980,77,1,subida,-0.006726,-0.006707,2.242520,2.249824,0.000906,5.158960,0.0,0.001,0.0
4.180396,78,1,subida,-0.006729,-0.006708,2.242064,2.249041,0.000906,5.149530,0.0,0.0,0.0
4.254068,79,1,subida,-0.006700,-0.006711,2.242010,2.248778,0.000906,5.149530,0.0,0.0,0.0
4.295695,80,1,subida,-0.006733,-0.006711,2.243474,2.248778,0.000906,5.158716,0.0,0.001,0.0
4.337765,81,1,subida,-0.006695,-0.006709,2.243474,2.248373,0.000906,5.150537,0.0,0.0,0.0
4.369042,82,1,subida,-0.006729,-0.006708,2.242612,2.250304,0.000906,5.150537,0.0,0.001,0.0
4.421201,83,1,subida,-0.006690,-0.006707,2.242216,2.250304,0.000907,5.149591,0.0,0.0,0.0
4.462568,84,1,subida,-0.006727,-0.006706,2.242216,2.249535,0.000907,5.150598,0.0,0.001,0.0
4.504063,85,1,subida,-0.006687,-0.006707,2.242013,2.249184,0.000907,5.150598,0.0,0.001,0.0
4.545045,86,1,subida,-0.006727,-0.006706,2.243190,2.249184,0.000906,5.157770,0.0,0.001,0.0
4.586904,87,1,subida,-0.006686,-0.006706,2.243190,2.248585,0.000906,5.152429,0.0,0.001,0.0
4.650541,88,1,subida,-0.006687,-0.006707,2.241819,2.249935,0.000906,5.150781,0.0,0.001,0.0
4.723351,89,1,subida,-0.006691,-0.006708,2.241211,2.248513,0.000906,5.147150,0.001,0.0,0.0
4.807819,90,1,subida,-0.006689,-0.006709,2.242210,2.248084,0.000906,5.143579,0.001,0.0,0.0
4.878916,91,1,subida,-0.006722,-0.006706,2.242734,2.248939,0.000906,5.143579,0.001,0.0,0.0
4.930387,92,1,subida,-0.006688,-0.006704,2.241569,2.248939,0.000906,5.154382,0.0,0.001,0.0
4.971678,93,1,subida,-0.006720,-0.006704,2.241569,2.249240,0.000906,5.159845,0.0,0.001,0.0
5.013624,94,1,subida,-0.006691,-0.006705,2.240693,2.248766,0.000906,5.159845,0.0,0.001,0.0
5.066693,95,1,subida,-0.006693,-0.006705,2.242350,2.247941,0.000906,5.156000,0.0,0.001,0.0
5.139939,96,1,subida,-0.006719,-0.006704,2.242100,2.248489,0.000906,5.156000,0.0,0.001,0.0
5.170976,97,1,subida,-0.006695,-0.006703,2.241584,2.248489,0.000906,5.154382,0.0,0.001,0.0
5.212944,98,1,subida,-0.006721,-0.006707,2.241584,2.248722,0.000906,5.155389,0.0,0.001,0.0
5.255078,99,1,subida,-0.006703,-0.006708,2.240905,2.248281,0.000906,5.155389,0.0,0.001,0.0
5.297690,100,1,subida,-0.006721,-0.006706,2.241033,2.248281,0.000905,5.150659,0.0,0.001,0.0
5.340045,101,1,subida,-0.006702,-0.006704,2.241033,2.247690,0.000906,5.150049,0.0,0.001,0.0
5.381386,102,1,subida,-0.006717,-0.006704,2.241807,2.247747,0.000905,5.150049,0.0,0.001,0.0
5.433449,103,1,subida,-0.006704,-0.006704,2.241927,2.247747,0.000906,5.150659,0.0,0.001,0.0
5.474994,104,1,subida,-0.006708,-0.006704,2.241274,2.248796,0.000906,5.156061,0.0,0.001,0.0
5.547932,105,1,subida,-0.006715,-0.006704,2.241265,2.248796,0.000906,5.157251,0.0,0.001,0.0
5.589090,106,1,subida,-0.006710,-0.006704,2.241265,2.247953,0.000906,5.153986,0.0,0.001,0.0
5.640487,107,1,subida,-0.006714,-0.006705,2.242699,2.248093,0.000906,5.153986,0.0,0.001,0.0
5.681346,108,1,subida,-0.006713,-0.006705,2.242272,2.248093,0.000906,5.158136,0.0,0.001,0.0
5.712564,109,1,subida,-0.006715,-0.006708,2.242272,2.249118,0.000906,5.156457,0.0,0.001,0.0
5.763930,110,1,subida,-0.006720,-0.006709,2.241590,2.248981,0.000906,5.156457,0.0,0.001,0.0
5.795233,111,1,subida,-0.006713,-0.006707,2.241229,2.248981,0.000906,5.158441,0.0,0.0,0.0
5.837591,112,1,subida,-0.006719,-0.006706,2.241229,2.248445,0.000906,5.150934,0.0,0.001,0.0
5.879409,113,1,subida,-0.006708,-0.006705,2.241864,2.247762,0.000905,5.150934,0.0,0.001,0.0
5.922278,114,1,subida,-0.006720,-0.006704,2.242258,2.247762,0.000905,5.156641,0.0,0.001,0.0
5.964536,115,1,subida,-0.006704,-0.006705,2.242258,2.248659,0.000906,5.154871,0.0,0.001,0.0
6.027097,116,1,subida,-0.006702,-0.006704,2.241432,2.249651,0.000906,5.152063,0.0,0.001,0.0
6.090999,117,1,subida,-0.006724,-0.006705,2.241432,2.248349,0.000906,5.156457,0.0,0.001,0.0
6.154455,118,1,subida,-0.006725,-0.006705,2.242749,2.248093,0.000906,5.161523,0.0,0.001,0.0
6.227428,119,1,subida,-0.006697,-0.006708,2.242749,2.248328,0.000906,5.154871,0.0,0.001,0.0
6.269733,120,1,subida,-0.006730,-0.006710,2.242234,2.249014,0.000906,5.154871,0.0,0.001,0.0
6.312249,121,1,subida,-0.006727,-0.006706,2.241617,2.248805,0.000906,5.150110,0.0,0.001,0.0
6.385653,122,1,subida,-0.006689,-0.006705,2.241280,2.247798,0.000906,5.150110,0.0,0.001,0.0
6.438472,123,1,subida,-0.006686,-0.006703,2.242582,2.247506,0.000906,5.152002,0.0,0.001,0.0
6.511697,124,1,subida,-0.006725,-0.006704,2.241855,2.249023,0.000905,5.152002,0.0,0.001,0.0
6.554199,125,1,subida,-0.006685,-0.006704,2.241757,2.249023,0.000906,5.157434,0.0,0.001,0.0
6.595353,126,1,subida,-0.006724,-0.006704,2.241757,2.248230,0.000906,5.156457,0.0,0.001,0.0
6.637480,127,1,subida,-0.006684,-0.006705,2.241456,2.248596,0.000906,5.156457,0.0,0.001,0.0
6.689528,128,1,subida,-0.006688,-0.006706,2.242186,2.247851,0.000906,5.160211,0.0,0.001,0.0
6.762987,129,1,subida,-0.006728,-0.006710,2.242654,2.249145,0.000906,5.160211,0.0,0.001,0.0
6.804933,130,1,subida,-0.006689,-0.006706,2.240899,2.249145,0.000906,5.161218,0.0,0.001,0.0
6.846200,131,1,subida,-0.006723,-0.006705,2.240899,2.248397,0.000905,5.154199,0.0,0.001,0.0
6.887780,132,1,subida,-0.006686,-0.006704,2.239346,2.246948,0.000905,5.154199,0.0,0.001,0.0
6.939939,133,1,subida,-0.006685,-0.006701,2.240726,2.239194,0.000901,5.151483,0.0,0.001,0.0
7.013499,134,1,subida,-0.006710,-0.006696,2.242576,2.248602,0.000906,5.151483,0.0,0.001,0.0
7.076419,135,1,subida,-0.006717,-0.006702,2.242111,2.249747,0.000906,5.154382,0.0,0.001,0.0
7.139558,136,1,subida,-0.006692,-0.006704,2.240842,2.248298,0.000906,5.154382,0.0,0.001,0.0
7.201733,137,1,subida,-0.006698,-0.006706,2.241199,2.247688,0.000906,5.162408,0.0,0.001,0.0
7.275147,138,1,subida,-0.006701,-0.006707,2.241411,2.248188,0.000905,5.160333,0.0,0.001,0.0
7.370637,139,1,subida,-0.006702,-0.006705,2.240630,2.247983,0.000905,5.151788,0.0,0.001,0.0
7.431958,140,1,subida,-0.006716,-0.006703,2.240729,2.247983,0.000905,5.156579,0.0,0.001,0.0
7.474023,141,1,subida,-0.006703,-0.006703,2.240729,2.246689,0.000905,5.152246,0.001,0.0,0.0
7.515390,142,1,subida,-0.006714,-0.006703,2.241817,2.244332,0.000904,5.152246,0.0,0.001,0.0
7.556701,143,1,subida,-0.006704,-0.006701,2.240428,2.244332,0.000905,5.162134,0.001,0.0,0.0
7.617642,144,1,subida,-0.006699,-0.006695,2.233576,2.241149,0.000900,5.153986,0.0,0.001,0.0
7.704056,145,1,subida,-0.006696,-0.006688,2.233111,2.242308,0.000900,5.156457,0.001,0.0,0.0
7.766320,146,1,subida,-0.006698,-0.006689,2.233877,2.239352,0.000900,5.156457,0.0,0.001,0.0
7.808095,147,1,subida,-0.006699,-0.006687,2.235725,2.239352,0.000901,5.158899,0.0,0.001,0.0
7.849579,148,1,subida,-0.006694,-0.006691,2.235725,2.249145,0.000905,5.153680,0.0,0.001,0.0
7.891512,149,1,subida,-0.006707,-0.006697,2.241954,2.249538,0.000906,5.153680,0.0,0.001,0.0
7.933557,150,1,subida,-0.006704,-0.006700,2.241513,2.249538,0.000906,5.157373,0.0,0.001,0.0
7.974892,151,1,subida,-0.006717,-0.006702,2.241513,2.248749,0.000906,5.155511,0.0,0.001,0.0
8.038286,152,1,subida,-0.006722,-0.006705,2.243059,2.248328,0.000906,5.164392,0.001,0.0,0.0
8.101789,153,1,subida,-0.006703,-0.006705,2.243059,2.248799,0.000906,5.153009,0.0,0.001,0.0
8.133479,154,1,subida,-0.006724,-0.006706,2.242123,2.249559,0.000906,5.153009,0.0,0.001,0.0
8.185275,155,1,subida,-0.006701,-0.006706,2.241629,2.249559,0.000906,5.163904,0.001,0.0,0.0
8.227594,156,1,subida,-0.006728,-0.006709,2.241629,2.248221,0.000905,5.150873,0.0,0.001,0.0
8.280078,157,1,subida,-0.006727,-0.006708,2.235850,2.246308,0.000901,5.160394,0.0,0.001,0.0
8.342486,158,1,subida,-0.006688,-0.006699,2.235850,2.240505,0.000900,5.149988,0.001,0.0,0.0
8.384677,159,1,subida,-0.006712,-0.006691,2.234443,2.240171,0.000900,5.149988,0.0,0.001,0.0
8.426758,160,1,subida,-0.006673,-0.006687,2.233585,2.240171,0.000901,5.159021,0.0,0.0,0.0
8.500219,161,1,subida,-0.006667,-0.006684,2.234366,2.240797,0.000901,5.155054,0.0,0.001,0.0
8.561660,162,1,subida,-0.006705,-0.006683,2.243119,2.240797,0.000903,5.158197,0.0,0.001,0.0
8.593079,163,1,subida,-0.006670,-0.006689,2.243119,2.248307,0.000906,5.150476,0.0,0.001,0.0
8.645332,164,1,subida,-0.006717,-0.006699,2.242621,2.249857,0.000906,5.150476,0.0,0.001,0.0
8.677092,165,1,subida,-0.006681,-0.006701,2.242398,2.249857,0.000906,5.156061,0.0,0.0,0.0
8.729443,166,1,subida,-0.006725,-0.006707,2.242398,2.248981,0.000906,5.154108,0.0,0.001,0.0
8.771729,167,1,subida,-0.006688,-0.006709,2.241727,2.248674,0.000906,5.154108,0.0,0.001,0.0
8.813407,168,1,subida,-0.006729,-0.006710,2.242964,2.248674,0.000906,5.157190,0.0,0.001,0.0
8.845345,169,1,subida,-0.006688,-0.006708,2.242964,2.248543,0.000907,5.154871,0.0,0.0,0.0
8.888031,170,1,subida,-0.006725,-0.006707,2.242827,2.249169,0.000906,5.154871,0.0,0.001,0.0
8.949240,171,1,subida,-0.006723,-0.006705,2.242457,2.249812,0.000906,5.156183,0.0,0.0,0.0
9.031938,172,1,subida,-0.006723,-0.006707,2.242839,2.249410,0.000906,5.158136,0.0,0.001,0.0
9.106004,173,1,subida,-0.006690,-0.006706,2.242839,2.247944,0.000907,5.152246,0.0,0.001,0.0
9.138077,174,1,subida,-0.006721,-0.006706,2.242746,2.249398,0.000906,5.152246,0.0,0.001,0.0
9.179827,175,1,subida,-0.006692,-0.006706,2.241956,2.249398,0.000906,5.153986,0.0,0.001,0.0
9.221937,176,1,subida,-0.006724,-0.006709,2.241956,2.249792,0.000906,5.152917,0.0,0.001,0.0
9.274420,177,1,subida,-0.006700,-0.006711,2.241751,2.249306,0.000907,5.152917,0.0,0.001,0.0
9.305742,178,1,subida,-0.006727,-0.006712,2.242046,2.249306,0.000906,5.153436,0.0,0.001,0.0
9.347558,179,1,subida,-0.006723,-0.006709,2.243074,2.248447,0.000906,5.156122,0.0,0.001,0.0
9.432958,180,1,subida,-0.006720,-0.006706,2.242323,2.249386,0.000906,5.156763,0.0,0.001,0.0
9.517608,181,1,subida,-0.006703,-0.006705,2.241799,2.248915,0.000906,5.156763,0.0,0.001,0.0
9.559580,182,1,subida,-0.006718,-0.006705,2.241316,2.248915,0.000906,5.155267,0.0,0.001,0.0
9.601943,183,1,subida,-0.006705,-0.006705,2.241316,2.247872,0.000906,5.155633,0.0,0.001,0.0
9.644269,184,1,subida,-0.006717,-0.006705,2.242702,2.247977,0.000906,5.155633,0.0,0.0,0.0
9.685924,185,1,subida,-0.006707,-0.006704,2.242648,2.247977,0.000906,5.155878,0.0,0.001,0.0
9.760070,186,1,subida,-0.006714,-0.006709,2.241817,2.249470,0.000907,5.154108,0.0,0.001,0.0
9.823707,187,1,subida,-0.006720,-0.006708,2.241271,2.249470,0.000906,5.157190,0.0,0.0,0.0
9.865876,188,1,subida,-0.006715,-0.006706,2.241271,2.248132,0.000906,5.151056,0.0,0.0,0.0
9.896809,189,1,subida,-0.006714,-0.006705,2.242129,2.247884,0.000906,5.151056,0.0,0.0,0.0
9.950160,190,1,subida,-0.006710,-0.006703,2.242201,2.248716,0.000906,5.147974,0.0,0.0,0.0
10.033831,191,1,subida,-0.006709,-0.006704,2.241122,2.249506,0.000906,5.158502,0.0,0.0,0.0
10.107237,192,1,subida,-0.006719,-0.006704,2.241122,2.248394,0.000906,5.155054,0.0,0.001,0.0
10.159560,193,1,subida,-0.006721,-0.006704,2.242979,2.248334,0.000906,5.157709,0.0,0.001,0.0
10.233705,194,1,subida,-0.006706,-0.006708,2.242979,2.249091,0.000906,5.153131,0.0,0.001,0.0
10.285993,195,1,subida,-0.006706,-0.006710,2.241197,2.249407,0.000906,5.155878,0.0,0.001,0.0
10.359775,196,1,subida,-0.006725,-0.006705,2.241197,2.248498,0.000906,5.154748,0.0,0.001,0.0
10.401327,197,1,subida,-0.006696,-0.006704,2.242207,2.248316,0.000906,5.154748,0.0,0.001,0.0
10.442928,198,1,subida,-0.006724,-0.006704,2.242660,2.248316,0.000906,5.157892,0.0,0.001,0.0
10.484818,199,1,subida,-0.006693,-0.006704,2.242660,2.248590,0.000907,5.153039,0.0,0.001,0.0
10.536689,200,1,subida,-0.006692,-0.006705,2.241867,2.250006,0.000906,5.158624,0.001,0.0,0.0
10.610131,201,1,subida,-0.006726,-0.006705,2.241867,2.249276,0.000907,5.152307,0.0,0.0,0.0
10.651737,202,1,subida,-0.006690,-0.006707,2.242216,2.248534,0.000906,5.152307,0.0,0.001,0.0
10.703647,203,1,subida,-0.006691,-0.006706,2.242874,2.248808,0.000907,5.159875,0.001,0.0,0.0
10.777629,204,1,subida,-0.006731,-0.006710,2.242591,2.249434,0.000906,5.159875,0.001,0.0,0.0
10.809358,205,1,subida,-0.006691,-0.006710,2.241915,2.249434,0.000906,5.164087,0.0,0.001,0.0
10.871073,206,1,subida,-0.006685,-0.006705,2.242076,2.248862,0.000907,5.149927,0.0,0.001,0.0
10.962823,207,1,subida,-0.006685,-0.006706,2.243176,2.248355,0.000907,5.152612,0.0,0.001,0.0
11.044557,208,1,subida,-0.006686,-0.006705,2.241891,2.249243,0.000906,5.158624,0.0,0.001,0.0
11.106499,209,1,subida,-0.006723,-0.006706,2.241891,2.248570,0.000906,5.154871,0.001,0.0,0.0
11.147969,210,1,subida,-0.006686,-0.006705,2.241146,2.248775,0.000906,5.154871,0.0,0.0,0.0
11.195142,211,1,subida,-0.006722,-0.006705,2.242374,2.248775,0.000906,5.155633,0.0,0.001,0.0
11.231591,212,1,subida,-0.006691,-0.006708,2.242374,2.248275,0.000907,5.152612,0.0,0.0,0.0
11.273747,213,1,subida,-0.006726,-0.006710,2.242892,2.249333,0.000906,5.152612,0.0,0.001,0.0
11.315664,214,1,subida,-0.006695,-0.006709,2.242147,2.249333,0.000906,5.153436,0.0,0.0,0.0
11.358076,215,1,subida,-0.006723,-0.006706,2.242147,2.249231,0.000906,5.152002,0.0,0.001,0.0
11.440471,216,1,subida,-0.006720,-0.006705,2.241319,2.248900,0.000905,5.162958,0.0,0.001,0.0
11.481722,217,1,subida,-0.006716,-0.006702,2.240583,2.246907,0.000905,5.153924,0.0,0.001,0.0
11.583755,218,1,subida,-0.006714,-0.006700,2.241101,2.247574,0.000905,5.154382,0.001,0.0,0.0
11.655772,219,1,subida,-0.006697,-0.006701,2.240431,2.246597,0.000904,5.154382,0.0,0.001,0.0
11.716218,220,1,subida,-0.006701,-0.006702,2.239671,2.246188,0.000904,5.158136,0.0,0.0,0.0
11.807253,221,1,subida,-0.006705,-0.006704,2.240905,2.246784,0.000904,5.149866,0.0,0.001,0.0
11.858127,222,1,subida,-0.006713,-0.006699,2.240905,2.243533,0.000905,5.151361,0.0,0.001,0.0
11.898529,223,1,subida,-0.006702,-0.006699,2.240112,2.241587,0.000900,5.151361,0.0,0.001,0.0
11.949765,224,1,subida,-0.006705,-0.006691,2.233245,2.241587,0.000900,5.153131,0.0,0.0,0.0
11.981325,225,1,subida,-0.006695,-0.006689,2.233245,2.240410,0.000901,5.156000,0.0,0.001,0.0
12.022808,226,1,subida,-0.006695,-0.006685,2.234139,2.239891,0.000900,5.156000,0.0,0.001,0.0
12.075346,227,1,subida,-0.006692,-0.006683,2.234932,2.239891,0.000901,5.151788,0.0,0.001,0.0
12.107102,228,1,subida,-0.006691,-0.006683,2.234932,2.240866,0.000900,5.151239,0.0,0.001,0.0
12.149865,229,1,subida,-0.006693,-0.006683,2.243545,2.249529,0.000906,5.151239,0.0,0.001,0.0
12.212894,230,1,subida,-0.006714,-0.006698,2.242117,2.248734,0.000907,5.149927,0.0,0.001,0.0
12.286710,231,1,subida,-0.006709,-0.006708,2.243074,2.249005,0.000907,5.149927,0.0,0.001,0.0
12.317416,232,1,subida,-0.006724,-0.006709,2.244248,2.249005,0.000907,5.160394,0.0,0.001,0.0
12.360149,233,1,subida,-0.006708,-0.006708,2.244248,2.250277,0.000907,5.156183,0.0,0.0,0.0
12.402562,234,1,subida,-0.006724,-0.006708,2.243640,2.250686,0.000907,5.156183,0.0,0.001,0.0
12.444152,235,1,subida,-0.006706,-0.006707,2.242889,2.250686,0.000907,5.154382,0.0,0.0,0.0
12.486330,236,1,subida,-0.006725,-0.006707,2.242889,2.249824,0.000907,5.153375,0.0,0.001,0.0
12.537253,237,1,subida,-0.006702,-0.006708,2.243542,2.249437,0.000907,5.153375,0.0,0.001,0.0
12.590131,238,1,subida,-0.006700,-0.006708,2.244433,2.250534,0.000907,5.149408,0.0,0.001,0.0
12.663833,239,1,subida,-0.006728,-0.006708,2.243605,2.250891,0.000907,5.149408,0.0,0.001,0.0
12.695128,240,1,subida,-0.006697,-0.006708,2.242630,2.250891,0.000907,5.151422,0.0,0.001,0.0
12.737002,241,1,subida,-0.006731,-0.006711,2.242630,2.249362,0.000907,5.154626,0.0,0.001,0.0
12.800285,242,1,subida,-0.006733,-0.006712,2.243679,2.249371,0.000907,5.165216,0.0,0.001,0.0
12.874000,243,1,subida,-0.006693,-0.006707,2.243679,2.249416,0.000907,5.153741,0.0,0.001,0.0
12.905378,244,1,subida,-0.006728,-0.006707,2.242940,2.250662,0.000907,5.153741,0.0,0.0,0.0
12.946685,245,1,subida,-0.006689,-0.006706,2.243104,2.250662,0.000907,5.159021,0.0,0.001,0.0
12.999188,246,1,subida,-0.006728,-0.006708,2.243104,2.249967,0.000907,5.152429,0.0,0.001,0.0
13.061803,247,1,subida,-0.006728,-0.006707,2.244272,2.250042,0.000907,5.165033,0.0,0.001,0.0
